patient	malignant_median_percentile	normal_epithelial_median_percentile	delta
103	78.399994	0.0	78.399994
11	100.0	13.4	86.6
119	89.6	1.9	87.7
136	93.1	0.4	92.7
146	100.0	4.6	95.4
150	100.0	2.0	98.0
151	99.4	0.6	98.8
156	74.6	0.6	74.0
181	22.4	12.8	9.599999
182	62.0	0.2	61.8
183	100.0	0.0	100.0
184	63.3	0.0	63.3
188	99.8	18.2	81.600006
190	43.0	33.4	9.599998
194	99.0	1.0	98.0
20	47.7	1.6	46.100002
203	18.8	63.2	-44.4
283	93.4	0.0	93.4
35	2.8	0.2	2.6
60	95.2	69.2	26.0
70	100.0	18.2	81.8
71	96.6	11.4	85.2
74	41.6	22.3	19.3
75	79.5	89.4	-9.900002
79	98.2	0.6	97.6
82	50.0	33.3	16.7
